"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
36494.92 5 246.16 58 52 49.5496 50.4504 "20190319"
37987.516 5 247.568 58 52 55.3419 44.6581 "20190319"
38238.27 3 244.397 57 53 62.1795 38.0342 "20190319"
38252.981 7 231.243 53 53 16.2393 70.5128 "20190319"
38253.247 7 231.642 54 57 17.094 82.4786 "20190319"
38254.073 7 231.251 54 61 18.8034 81.1966 "20190319"
38254.323 7 233.97 54 50 25 74.6914 "20190319"
38254.822 7 233.825 54 56 28.2051 72.0085 "20190319"
38255.103 7 234.216 54 57 29.2735 70.9402 "20190319"
38255.337 7 234.346 54 57 27.5641 72.2222 "20190319"
38255.618 7 234.304 54 54 25.3623 75.3623 "20190319"
38255.867 7 236.096 55 54 50.2137 49.7863 "20190319"
38256.71 7 235.424 55 53 37.7193 61.4035 "20190319"
38257.334 7 235.959 55 54 50 53.0864 "20190319"
38257.911 7 236.339 55 54 61.1111 42.3077 "20190319"
38447.404 5 183.778 40 48 39.5833 60.0694 "20190319"
38913.388 5 201.19 45 53 50 50 "20190319"
38913.606 5 201.79 45 52 49.5726 50.4274 "20190319"
39984.21 7 195.186 43 53 58.7607 41.2393 "20190319"
39984.663 7 195.209 43 52 51.9231 48.2906 "20190319"
39984.881 7 195.459 43 52 45.9402 54.2735 "20190319"
40130.648 5 193.728 43 54 50.2137 49.7863 "20190319"
40436.965 3 256.291 60 52 57.8788 42.1212 "20190319"
40595.212 3 238.287 55 53 48.7745 51.7157 "20190319"
40810.913 7 187.849 42 51 42.9293 56.5657 "20190319"
40964.865 1 215.863 49 51 62.1795 38.0342 "20190319"
42049.342 1 199.424 45 53 61.3248 38.6752 "20190319"
42055.13 1 214.633 49 53 38.5246 62.5683 "20190319"
42338.156 5 215.746 49 53 48.2906 51.7094 "20190319"
42471.599 7 187.356 41 53 43.2099 57.4074 "20190319"
42641.889 1 221.992 51 48 71.5812 28.2051 "20190319"
43948.08 5 255.684 60 43 49.0196 53.268 "20190319"
44486.031 5 246.957 58 54 43.3761 56.6239 "20190319"
45538.742 1 207.456 47 51 49.359 50.641 "20190319"
45561.362 5 265.591 63 55 41.8919 58.3333 "20190319"
45647.942 1 245.575 57 53 76.4957 23.2906 "20190319"
46194.406 5 212.571 48 52 79.5918 21.0884 "20190319"
46545.105 5 190.116 42 53 45.5128 54.4872 "20190319"
46545.401 5 190.603 42 49 44.6581 55.3419 "20190319"
46593.824 7 187.808 41 52 52.7778 47.4359 "20190319"
46633.464 7 197.142 44 51 55.5556 44.4444 "20190319"
47031.79 1 239.73 56 52 57.265 42.735 "20190319"
48698.689 1 204.782 46 53 51.0684 50 "20190319"
49032.291 7 213.266 49 53 43.1624 56.6239 "20190319"
49183.159 5 260.977 62 54 50.4274 49.5726 "20190319"
49183.408 5 262.132 62 53 51.0684 49.359 "20190319"
49699.015 7 183.095 40 52 41.6667 58.1197 "20190319"
50347.956 7 218.423 50 48 23.1707 76.4228 "20190319"
50508.792 7 221.073 51 51 49.359 50.641 "20190319"
51243.606 7 193.447 43 59 49.359 50.641 "20190319"
53474.472 7 203.966 46 53 39.5161 60.2151 "20190319"
53845.951 1 242.18 56 54 39.1026 60.8974 "20190319"
53846.169 1 242.29 57 51 36.7521 63.4615 "20190319"
53916.791 7 200.635 45 51 44.8718 55.1282 "20190319"
54151.867 3 224.294 51 52 44.9153 55.0848 "20190319"
55035.583 1 184.211 41 51 49.7396 50.2604 "20190319"
